route_csv,segment_count,direct_miles,total_miles
"JFK,LAX,ORD,LGA",3,10,4952
"JFK,LAX,ATL,LGA",3,10,5182
"JFK,SFO,ORD,LGA",3,10,5165
"LGA,FLL,EWR",2,16,2140
"LGA,ORD,SFO,EWR",3,16,5144
"LGA,ORD,MCO,EWR",3,16,2675
"LGA,ATL,MCO,EWR",3,16,2102
"LGA,ATL,FLL,EWR",3,16,2406
"JFK,SFO,EWR",2,20,5151
"JFK,LAX,SFO,EWR",3,20,5377
"MIA,LGA,FLL",2,21,2172
"MIA,ATL,FLL",2,21,1175
"MIA,LGA,ATL,FLL",3,21,2438
"MIA,ATL,LGA,FLL",3,21,2431
"EWR,MCO,PHL",2,80,1798
"EWR,MCO,ATL,PHL",3,80,2007
"EWR,FLL,ATL,PHL",3,80,2311
"TPA,ATL,MCO",2,80,809
"TPA,ATL,ORD,MCO",3,80,2016
"TPA,ATL,PHL,MCO",3,80,1933
"JFK,LAX,ATL,PHL",3,93,5087
"LGA,ATL,PHL",2,95,1427
"LGA,ORD,MCO,PHL",3,95,2599
"LGA,ORD,ATL,PHL",3,95,2005
"LGA,ATL,MCO,PHL",3,95,2026
"LGA,MIA,ATL,PHL",3,95,2357
"LGA,FLL,ATL,PHL",3,95,2322
"SAN,SFO,LAX",2,109,783
"SAN,SFO,ORD,LAX",3,109,4037
"SAN,SFO,LAS,LAX",3,109,1096
"SAN,SFO,JFK,LAX",3,109,5507
"SAN,SFO,DEN,LAX",3,109,2275
"SAN,SFO,SEA,LAX",3,109,2078
"DCA,ATL,PHL",2,119,1213
"DCA,ATL,MCO,PHL",3,119,1812
"FLL,ATL,MCO",2,177,984
"FLL,EWR,MCO",2,177,2002
"FLL,ATL,ORD,MCO",3,177,2191
"FLL,ATL,PHL,MCO",3,177,2108
"FLL,LGA,ORD,MCO",3,177,2813
"FLL,LGA,ATL,MCO",3,177,2240
"MIA,ATL,MCO",2,192,998
"MIA,LGA,ORD,MCO",3,192,2834
"MIA,LGA,ATL,MCO",3,192,2261
"MIA,ATL,ORD,MCO",3,192,2205
"MIA,ATL,PHL,MCO",3,192,2122
"FLL,ATL,TPA",2,196,986
"FLL,LGA,ATL,TPA",3,196,2243
"DCA,ATL,MCO,EWR",3,198,1888
"DCA,ATL,FLL,EWR",3,198,2192
"MIA,ATL,TPA",2,204,1000
"MIA,LGA,ATL,TPA",3,204,2264
"JFK,LAX,ATL,DCA",3,212,4968
"LGA,ATL,DCA",2,214,1308
"LGA,ORD,ATL,DCA",3,214,1886
"LGA,MIA,ATL,DCA",3,214,2238
"LGA,FLL,ATL,DCA",3,214,2203
"LAX,LAS",1,236,236
"LAX,SFO,LAS",2,236,751
"LAX,ORD,LAS",2,236,3258
"LAX,DEN,LAS",2,236,1490
"LAX,SEA,LAS",2,236,1820
"LAX,ATL,LAS",2,236,3693
"LAX,SFO,ORD,LAS",3,236,3697
"LAX,SFO,DEN,LAS",3,236,1932
"LAX,SFO,SEA,LAS",3,236,1882
"LAX,JFK,SFO,LAS",3,236,5474
"LAX,ORD,SFO,LAS",3,236,4004
"LAX,ORD,DEN,LAS",3,236,3261
"LAX,ORD,ATL,LAS",3,236,4097
"LAX,DEN,ORD,LAS",3,236,3264
"LAX,DEN,SFO,LAS",3,236,2242
"LAX,DEN,ATL,LAS",3,236,3807
"LAX,SEA,SFO,LAS",3,236,2046
"LAX,ATL,ORD,LAS",3,236,4066
"LAX,ATL,DEN,LAS",3,236,3773
"LAX,DFW,ORD,LAS",3,236,3550
"LAX,DFW,ATL,LAS",3,236,3712
"LAX,DFW,DEN,LAS",3,236,2504
"LAX,PHX,DEN,LAS",3,236,1600
"LAX,PHX,ORD,LAS",3,236,3324
"LAX,PHX,SEA,LAS",3,236,2343
"PHX,DEN,LAS",2,255,1230
"PHX,ORD,LAS",2,255,2954
"PHX,SEA,LAS",2,255,1973
"PHX,LAX,LAS",2,255,606
"PHX,DEN,LAX,LAS",3,255,1699
"PHX,DEN,ORD,LAS",3,255,3004
"PHX,DEN,SFO,LAS",3,255,1982
"PHX,DEN,ATL,LAS",3,255,3547
"PHX,MSP,ORD,LAS",3,255,3124
"PHX,MSP,DEN,LAS",3,255,2584
"PHX,ORD,LAX,LAS",3,255,3420
"PHX,ORD,SFO,LAS",3,255,3699
"PHX,ORD,DEN,LAS",3,255,2956
"PHX,ORD,ATL,LAS",3,255,3792
"PHX,SEA,LAX,LAS",3,255,2296
"PHX,SEA,SFO,LAS",3,255,2199
"PHX,LAX,SFO,LAS",3,255,1121
"PHX,LAX,ORD,LAS",3,255,3628
"PHX,LAX,DEN,LAS",3,255,1860
"PHX,LAX,SEA,LAS",3,255,2190
"PHX,LAX,ATL,LAS",3,255,4063
"SAN,SFO,LAS",2,258,860
"SAN,SFO,LAX,LAS",3,258,1020
"SAN,SFO,ORD,LAS",3,258,3806
"SAN,SFO,DEN,LAS",3,258,2041
"SAN,SFO,SEA,LAS",3,258,1991
"SAN,SFO,LAX,PHX",3,304,1154
"SAN,SFO,ORD,PHX",3,304,3732
"SAN,SFO,DEN,PHX",3,304,2015
"SAN,SFO,SEA,PHX",3,304,2231
"MSP,ORD",1,334,334
"MSP,PHX,ORD",2,334,2715
"MSP,DEN,ORD",2,334,1568
"MSP,PHX,DEN,ORD",3,334,2766
"MSP,PHX,LAX,ORD",3,334,3390
"MSP,DEN,PHX,ORD",3,334,2721
"MSP,DEN,LAX,ORD",3,334,3286
"MSP,DEN,LAS,ORD",3,334,2822
"MSP,DEN,SFO,ORD",3,334,3493
"MSP,DEN,ATL,ORD",3,334,2484
"MSP,DEN,DFW,ORD",3,334,2122
"SFO,LAX",1,337,337
"SFO,ORD,LAX",2,337,3590
"SFO,LAS,LAX",2,337,650
"SFO,JFK,LAX",2,337,5060
"SFO,DEN,LAX",2,337,1828
"SFO,SEA,LAX",2,337,1632
"SFO,ORD,DEN,LAX",3,337,3596
"SFO,ORD,PHX,LAX",3,337,3656
"SFO,ORD,DFW,LAX",3,337,3882
"SFO,ORD,ATL,LAX",3,337,4398
"SFO,ORD,LAS,LAX",3,337,3596
"SFO,LAS,DEN,LAX",3,337,1904
"SFO,LAS,SEA,LAX",3,337,2234
"SFO,LAS,ATL,LAX",3,337,4107
"SFO,LAS,ORD,LAX",3,337,3672
"SFO,DEN,PHX,LAX",3,337,1938
"SFO,DEN,LAS,LAX",3,337,1831
"SFO,DEN,ORD,LAX",3,337,3599
"SFO,DEN,ATL,LAX",3,337,4112
"SFO,DEN,DFW,LAX",3,337,2843
"SFO,SEA,PHX,LAX",3,337,2155
"SFO,SEA,LAS,LAX",3,337,1781
"SLC,DEN,LAS",2,367,1019
"SLC,DEN,LAX,LAS",3,367,1488
"SLC,DEN,ORD,LAS",3,367,2793
"SLC,DEN,SFO,LAS",3,367,1771
"SLC,DEN,ATL,LAS",3,367,3336
"PHX,LAX",1,370,370
"PHX,DEN,LAX",2,370,1463
"PHX,ORD,LAX",2,370,3184
"PHX,SEA,LAX",2,370,2060
"PHX,DEN,LAS,LAX",3,370,1466
"PHX,DEN,ORD,LAX",3,370,3234
"PHX,DEN,SFO,LAX",3,370,1906
"PHX,DEN,ATL,LAX",3,370,3747
"PHX,DEN,DFW,LAX",3,370,2477
"PHX,MSP,ORD,LAX",3,370,3354
"PHX,MSP,DEN,LAX",3,370,2817
"PHX,ORD,SFO,LAX",3,370,3623
"PHX,ORD,DEN,LAX",3,370,3190
"PHX,ORD,DFW,LAX",3,370,3476
"PHX,ORD,ATL,LAX",3,370,3992
"PHX,ORD,LAS,LAX",3,370,3190
"PHX,SEA,SFO,LAX",3,370,2122
"PHX,SEA,LAS,LAX",3,370,2209
"DEN,SLC",1,390,390
"ATL,MCO",1,403,403
"ATL,ORD,MCO",2,403,1610
"ATL,PHL,MCO",2,403,1527
"ATL,FLL,EWR,MCO",3,403,2582
"ATL,LGA,ORD,MCO",3,403,2499
"ATL,LAX,ORD,MCO",3,403,4696
"ATL,DFW,ORD,MCO",3,403,2538
"ATL,DEN,ORD,MCO",3,403,3092
"ATL,LAS,ORD,MCO",3,403,4265
"ATL,TPA",1,405,405
"SFO,LAS",1,413,413
"SFO,LAX,LAS",2,413,573
"SFO,ORD,LAS",2,413,3360
"SFO,DEN,LAS",2,413,1595
"SFO,SEA,LAS",2,413,1544
"SFO,LAX,ORD,LAS",3,413,3596
"SFO,LAX,DEN,LAS",3,413,1827
"SFO,LAX,SEA,LAS",3,413,2157
